../csvFiles/imgEntrenadores/luisEnrique.jpg
Nombre; Luis Enrique,
Equipo; PSG,
FechaNacimiento; 08/05/1970,
AnyosDeEntrenador; 10,
NivelLiderazgo; 8,
Pais; Espanya,

../csvFiles/imgEntrenadores/xaviHernandez.jpeg
Nombre; Xavi,
Equipo; Barcelona,
FechaNacimiento; 25/01/1980,
AnyosDeEntrenador; 5,
NivelLiderazgo; 9,
Pais; Espanya,

../csvFiles/imgEntrenadores/vicente.jpg
Nombre; Vicente del bosque,
Equipo; Sporting,
FechaNacimiento; 23/12/1950,
AnyosDeEntrenador; 8,
NivelLiderazgo; 10,
Pais; Espanya,
