NOM,SAMARRETA,CLUB,POSICIÓN,NACIONALIDAD,LICENCIA,ALTURA,EDAD,TEMP.,FOTO
Brandon Davies,0,BARÇA,Ala-pívot,Uganda,COT,"2,08",28,1,156115pre7327.jpg
Pau Ribas,5,BARÇA,Escolta,España,JFL,"1,94",33,5,156475pre7306.jpg
Adam Hanga,8,BARÇA,Alero,Hungría,EUR,"1,99",31,3,155929pre7330.jpg
Rolands Smits,10,BARÇA,Alero,Letonia,JFL,"2,07",24,2,156550pre7303.jpg
Pierre Oriola,18,BARÇA,Ala-pívot,España,JFL,"2,06",27,3,156523pre7312.jpg
Álex Abrines,21,BARÇA,Alero,España,JFL,"1,98",26,5,155983pre7342.jpg
Cory Higgins,22,BARÇA,Escolta,EE.UU.,EXT,"1,96",30,1,156160pre7345.jpg
Malcolm Delaney,23,BARÇA,Base,EE.UU.,EXT,"1,91",31,1,156367pre7315.jpg
Kyle Kuric,24,BARÇA,Escolta,Eslovaquia,EUR,"1,93",30,2,156307pre7336.jpg
Víctor Claver,30,BARÇA,Ala-pívot,España,JFL,"2,07",31,4,156664pre7300.jpg
Nikola Mirotic,33,BARÇA,Ala-pívot,España,JFL,"2,08",29,1,156430pre7354.jpg
Ante Tomic,44,BARÇA,Pívot,Croacia,EUR,"2,17",33,8,156046pre7324.jpg
Fabien Causeur,1,REAL MADRID,Escolta,Francia,EUR,"1,95",32,3,154806pre7230.jpg
Rudy Fernández,5,REAL MADRID,Alero,España,JFL,"1,96",35,9,155535pre7203.jpg
Facu Campazzo,7,REAL MADRID,Base,España,EUR,"1,81",29,4,154869pre7248.jpg
Nico Laprovittola,8,REAL MADRID,Base,Italia,EUR,"1,9",30,1,155391pre7212.jpg
Felipe Reyes,9,REAL MADRID,Ala-pívot,España,JFL,"2,04",40,16,154998pre7257.jpg
Gabriel Deck,14,REAL MADRID,Alero,Argentina,EXT,"1,98",25,2,155028pre7275.jpg
Jaycee Carroll,20,REAL MADRID,Escolta,Azerbaijan,EUR,"1,88",37,9,155109pre7266.jpg
Edy Tavares,22,REAL MADRID,Pívot,Cabo Verde,JFL,"2,2",28,3,156147pre7167.jpg
Sergio Llull,23,REAL MADRID,Base,España,JFL,"1,9",32,14,155646pre7194.jpg
Trey Thompkins,33,REAL MADRID,Ala-pívot,EE.UU.,EXT,"2,08",29,5,155793pre7185.jpg
Jeffery Taylor,44,REAL MADRID,Alero,Suecia,EUR,"2,01",30,5,155178pre7293.jpg
Salah Mejri,50,REAL MADRID,Pívot,Túnez,COT,"2,17",33,3,177054pre11856.jpg
Quino Colom,1,VALENCIA BASKET CLUB,Base,España,JFL,"1,88",31,1,157227pre7428.jpg
Vanja Marinkovic,2,VALENCIA BASKET CLUB,Alero,Serbia,EUR,"1,98",23,1,157308pre7401.jpg
Maurice Ndour,5,VALENCIA BASKET CLUB,Ala-pívot,Senegal,COT,"2,06",27,1,157167pre7437.jpg
Alberto Abalde,6,VALENCIA BASKET CLUB,Alero,España,JFL,"2,02",24,3,156783pre7446.jpg
Louis Labeyrie,7,VALENCIA BASKET CLUB,Pívot,Francia,EUR,"2,08",28,2,157110pre7452.jpg
Sam Van Rossom,9,VALENCIA BASKET CLUB,Base,Bélgica,EUR,"1,88",33,7,157284pre7464.jpg
Mike Tobey,10,VALENCIA BASKET CLUB,Pívot,EE.UU.,EXT,"2,13",25,3,157188pre7473.jpg
Bojan Dubljevic,14,VALENCIA BASKET CLUB,Pívot,Montenegro,EUR,"2,05",28,8,156837pre7479.jpg
Guillem Vives,16,VALENCIA BASKET CLUB,Base,España,JFL,"1,92",26,6,156990pre7491.jpg
F. San Emeterio,19,VALENCIA BASKET CLUB,Alero,España,JFL,"1,99",36,5,156930pre7500.jpg
Joan Sastre,30,VALENCIA BASKET CLUB,Escolta,España,JFL,"2,01",28,4,157029pre7509.jpg
A. Doornekamp,42,VALENCIA BASKET CLUB,Ala-pívot,Holanda,EUR,"2,01",34,3,156750pre7518.jpg
